round,time,instance,nodes,cost,initial_scheme,population_size,selection_size,selection_scheme,probability_mutation,mutation_scheme,termination_scheme,termination_max_generations,path
1,0.533441,4,10,11.23607,0,100,10,1,10000.0,0,1,100,8-9-7-5-3-2-1-0-4-6
1,0.486594,2,10,14.0,0,100,10,1,10000.0,0,1,100,8-9-7-5-4-3-2-1-0-6
1,0.529875,3,10,14.0,0,100,10,1,10000.0,0,1,100,2-3-4-5-7-9-8-6-0-1
1,0.600189,1,10,10.0,0,100,10,1,10000.0,0,1,100,8-7-5-3-0-1-2-4-6-9
1,0.520701,0,10,13.12311,0,100,10,1,10000.0,0,1,100,6-8-9-7-5-0-1-2-3-4
0,0.405601,4,10,11.23607,0,100,10,1,10000.0,0,1,100,1-0-4-6-8-9-7-5-3-2
0,0.455105,2,10,14.0,0,100,10,1,10000.0,0,1,100,2-3-4-5-7-9-8-6-0-1
0,0.514538,3,10,14.0,0,100,10,1,10000.0,0,1,100,7-9-8-6-0-1-2-3-4-5
0,0.481962,1,10,10.0,0,100,10,1,10000.0,0,1,100,5-3-0-1-2-4-6-9-8-7
0,0.551601,0,10,13.12311,0,100,10,1,10000.0,0,1,100,3-4-6-8-9-7-5-0-1-2
3,0.504891,4,10,11.23607,0,100,10,1,10000.0,0,1,100,1-0-4-6-8-9-7-5-3-2
3,0.549303,2,10,14.0,0,100,10,1,10000.0,0,1,100,1-2-3-4-5-7-9-8-6-0
3,0.55066,3,10,14.0,0,100,10,1,10000.0,0,1,100,3-4-5-7-9-8-6-0-1-2
3,0.5117,1,10,10.0,0,100,10,1,10000.0,0,1,100,1-2-4-6-9-8-7-5-3-0
3,0.509687,0,10,13.12311,0,100,10,1,10000.0,0,1,100,4-6-8-9-7-5-0-1-2-3
2,0.520028,4,10,11.23607,0,100,10,1,10000.0,0,1,100,6-4-0-1-2-3-5-7-9-8
2,0.461123,2,10,14.0,0,100,10,1,10000.0,0,1,100,2-1-0-6-8-9-7-5-4-3
2,0.508309,3,10,14.0,0,100,10,1,10000.0,0,1,100,7-5-4-3-2-1-0-6-8-9
2,0.523216,1,10,10.0,0,100,10,1,10000.0,0,1,100,0-1-2-4-6-9-8-7-5-3
2,0.544915,0,10,13.12311,0,100,10,1,10000.0,0,1,100,4-6-8-9-7-5-0-1-2-3
4,0.494984,4,10,11.23607,0,100,10,1,10000.0,0,1,100,7-5-3-2-1-0-4-6-8-9
4,0.507697,2,10,14.0,0,100,10,1,10000.0,0,1,100,5-4-3-2-1-0-6-8-9-7
4,0.494295,3,10,14.0,0,100,10,1,10000.0,0,1,100,5-7-9-8-6-0-1-2-3-4
4,0.502231,1,10,10.0,0,100,10,1,10000.0,0,1,100,9-6-4-2-1-0-3-5-7-8
4,0.512634,0,10,13.12311,0,100,10,1,10000.0,0,1,100,9-7-5-0-1-2-3-4-6-8
